,x,y,z,"P(X,Y,Z)"
0,1,1,1,0.002831080017084533
1,1,1,2,0.010758104064921224
2,1,1,3,0.020440397723350323
3,1,1,4,0.025891170449577082
4,1,1,5,0.02459661192709822
5,1,1,6,0.018693425064594645
6,1,1,7,0.011839169207576609
7,1,1,8,0.006426977569827294
8,1,1,9,0.0030528143456679652
9,1,1,10,0.00128896605705981
10,1,1,11,0.0004898071016827267
11,1,1,12,0.0001692060896722147
12,1,1,13,5.3581928396201476e-05
13,1,1,14,1.5662409838889636e-05
14,1,1,15,4.251225527698595e-06
15,1,1,16,1.0769771336836458e-06
16,1,1,17,2.557820692498655e-07
17,1,1,18,5.7174815479381676e-08
18,1,1,19,1.2070238823425083e-08
19,1,1,20,2.41404776468501e-09
20,1,2,1,0.0038624005079337673
21,1,2,2,0.014677121930148312
22,1,2,3,0.02788653166728179
23,1,2,4,0.03532294011189027
24,1,2,5,0.03355679310629575
25,1,2,6,0.025503162760784768
26,1,2,7,0.016152003081830353
27,1,2,8,0.00876823024442218
28,1,2,9,0.004164909366100537
29,1,2,10,0.0017585172879091187
30,1,2,11,0.0006682365694054635
31,1,2,12,0.0002308453603400693
32,1,2,13,7.31010307743555e-05
33,1,2,14,2.1367993610965417e-05
34,1,2,15,5.7998839801191556e-06
35,1,2,16,1.4693039416301886e-06
36,1,2,17,3.4895968613716925e-07
37,1,2,18,7.800275337183781e-08
38,1,2,19,1.6467247934054734e-08
39,1,2,20,3.293449586810937e-09
40,1,3,1,0.005127455174615541
41,1,3,2,0.019484329663539048
42,1,3,3,0.03702022636072419
43,1,3,4,0.04689228672358399
44,1,3,5,0.04454767238740477
45,1,3,6,0.03385623101442762
46,1,3,7,0.02144227964247083
47,1,3,8,0.01164009466305558
48,1,3,9,0.005529044964951401
49,1,3,10,0.0023344856518683734
50,1,3,11,0.0008871045477099799
51,1,3,12,0.00030645429829981134
52,1,3,13,9.704386112827386e-05
53,1,3,14,2.8366667099033853e-05
54,1,3,15,7.69952392688058e-06
55,1,3,16,1.9505460614764166e-06
56,1,3,17,4.6325468960064825e-07
57,1,3,18,1.0355104826367428e-07
58,1,3,19,2.1860776855664684e-08
59,1,3,20,4.3721553711329245e-09
60,1,4,1,0.004958167381754839
61,1,4,2,0.01884103605066838
62,1,4,3,0.03579796849626992
63,1,4,4,0.04534409342860858
64,1,4,5,0.04307688875717813
65,1,4,6,0.03273843545545538
66,1,4,7,0.02073434245512174
67,1,4,8,0.011255785904208932
68,1,4,9,0.005346498304499243
69,1,4,10,0.002257410395233018
70,1,4,11,0.0008578159501885449
71,1,4,12,0.00029633641915604285
72,1,4,13,9.38398660660805e-05
73,1,4,14,2.7430114696238872e-05
74,1,4,15,7.445316846121943e-06
75,1,4,16,1.8861469343508955e-06
76,1,4,17,4.47959896908337e-07
77,1,4,18,1.0013221225009881e-07
78,1,4,19,2.113902258613208e-08
79,1,4,20,4.227804517226405e-09
80,2,1,1,0.0007077700042711333
81,2,1,2,0.002689526016230306
82,2,1,3,0.005110099430837581
83,2,1,4,0.0064727926123942705
84,2,1,5,0.006149152981774555
85,2,1,6,0.004673356266148661
86,2,1,7,0.002959792301894152
87,2,1,8,0.0016067443924568236
88,2,1,9,0.0007632035864169913
89,2,1,10,0.0003222415142649525
90,2,1,11,0.00012245177542068167
91,2,1,12,4.2301522418053675e-05
92,2,1,13,1.3395482099050369e-05
93,2,1,14,3.915602459722409e-06
94,2,1,15,1.0628063819246487e-06
95,2,1,16,2.6924428342091144e-07
96,2,1,17,6.394551731246637e-08
97,2,1,18,1.4293703869845419e-08
98,2,1,19,3.017559705856271e-09
99,2,1,20,6.035119411712525e-10
100,2,2,1,0.0009656001269834418
101,2,2,2,0.003669280482537078
102,2,2,3,0.006971632916820448
103,2,2,4,0.008830735027972568
104,2,2,5,0.008389198276573938
105,2,2,6,0.006375790690196192
106,2,2,7,0.004038000770457588
107,2,2,8,0.002192057561105545
108,2,2,9,0.0010412273415251342
109,2,2,10,0.00043962932197727967
110,2,2,11,0.00016705914235136588
111,2,2,12,5.771134008501733e-05
112,2,2,13,1.8275257693588873e-05
113,2,2,14,5.341998402741354e-06
114,2,2,15,1.4499709950297889e-06
115,2,2,16,3.6732598540754714e-07
116,2,2,17,8.723992153429231e-08
117,2,2,18,1.9500688342959452e-08
118,2,2,19,4.1168119835136834e-09
119,2,2,20,8.233623967027343e-10
120,2,3,1,0.0012818637936538853
121,2,3,2,0.004871082415884762
122,2,3,3,0.009255056590181047
123,2,3,4,0.011723071680895997
124,2,3,5,0.011136918096851193
125,2,3,6,0.008464057753606905
126,2,3,7,0.005360569910617708
127,2,3,8,0.002910023665763895
128,2,3,9,0.0013822612412378503
129,2,3,10,0.0005836214129670933
130,2,3,11,0.00022177613692749498
131,2,3,12,7.661357457495284e-05
132,2,3,13,2.4260965282068464e-05
133,2,3,14,7.091666774758463e-06
134,2,3,15,1.924880981720145e-06
135,2,3,16,4.876365153691041e-07
136,2,3,17,1.1581367240016206e-07
137,2,3,18,2.588776206591857e-08
138,2,3,19,5.465194213916171e-09
139,2,3,20,1.0930388427832311e-09
140,2,4,1,0.0012395418454387097
141,2,4,2,0.004710259012667095
142,2,4,3,0.00894949212406748
143,2,4,4,0.011336023357152145
144,2,4,5,0.010769222189294533
145,2,4,6,0.008184608863863845
146,2,4,7,0.005183585613780435
147,2,4,8,0.002813946476052233
148,2,4,9,0.0013366245761248109
149,2,4,10,0.0005643525988082545
150,2,4,11,0.00021445398754713622
151,2,4,12,7.408410478901071e-05
152,2,4,13,2.3459966516520125e-05
153,2,4,14,6.857528674059718e-06
154,2,4,15,1.8613292115304858e-06
155,2,4,16,4.715367335877239e-07
156,2,4,17,1.1198997422708425e-07
157,2,4,18,2.5033053062524703e-08
158,2,4,19,5.28475564653302e-09
159,2,4,20,1.0569511293066012e-09
160,3,1,1,0.00017694250106778332
161,3,1,2,0.0006723815040575765
162,3,1,3,0.0012775248577093952
163,3,1,4,0.0016181981530985676
164,3,1,5,0.0015372882454436387
165,3,1,6,0.0011683390665371653
166,3,1,7,0.000739948075473538
167,3,1,8,0.0004016860981142059
168,3,1,9,0.00019080089660424783
169,3,1,10,8.056037856623812e-05
170,3,1,11,3.061294385517042e-05
171,3,1,12,1.0575380604513419e-05
172,3,1,13,3.3488705247625923e-06
173,3,1,14,9.789006149306022e-07
174,3,1,15,2.6570159548116217e-07
175,3,1,16,6.731107085522786e-08
176,3,1,17,1.5986379328116592e-08
177,3,1,18,3.5734259674613548e-09
178,3,1,19,7.543899264640677e-10
179,3,1,20,1.5087798529281312e-10
180,3,2,1,0.00024140003174586046
181,3,2,2,0.0009173201206342695
182,3,2,3,0.001742908229205112
183,3,2,4,0.002207683756993142
184,3,2,5,0.0020972995691434845
185,3,2,6,0.001593947672549048
186,3,2,7,0.001009500192614397
187,3,2,8,0.0005480143902763863
188,3,2,9,0.00026030683538128354
189,3,2,10,0.00010990733049431992
190,3,2,11,4.176478558784147e-05
191,3,2,12,1.4427835021254332e-05
192,3,2,13,4.568814423397218e-06
193,3,2,14,1.3354996006853386e-06
194,3,2,15,3.624927487574472e-07
195,3,2,16,9.183149635188678e-08
196,3,2,17,2.1809980383573078e-08
197,3,2,18,4.875172085739863e-09
198,3,2,19,1.0292029958784209e-09
199,3,2,20,2.0584059917568357e-10
200,3,3,1,0.0003204659484134713
201,3,3,2,0.0012177706039711905
202,3,3,3,0.002313764147545262
203,3,3,4,0.0029307679202239994
204,3,3,5,0.002784229524212798
205,3,3,6,0.002116014438401726
206,3,3,7,0.001340142477654427
207,3,3,8,0.0007275059164409737
208,3,3,9,0.0003455653103094626
209,3,3,10,0.00014590535324177334
210,3,3,11,5.5444034231873744e-05
211,3,3,12,1.915339364373821e-05
212,3,3,13,6.065241320517116e-06
213,3,3,14,1.7729166936896158e-06
214,3,3,15,4.812202454300362e-07
215,3,3,16,1.2190912884227603e-07
216,3,3,17,2.8953418100040516e-08
217,3,3,18,6.471940516479642e-09
218,3,3,19,1.3662985534790427e-09
219,3,3,20,2.732597106958078e-10
220,3,4,1,0.00030988546135967744
221,3,4,2,0.0011775647531667738
222,3,4,3,0.00223737303101687
223,3,4,4,0.0028340058392880363
224,3,4,5,0.0026923055473236333
225,3,4,6,0.002046152215965961
226,3,4,7,0.0012958964034451089
227,3,4,8,0.0007034866190130583
228,3,4,9,0.0003341561440312027
229,3,4,10,0.0001410881497020636
230,3,4,11,5.3613496886784054e-05
231,3,4,12,1.8521026197252678e-05
232,3,4,13,5.864991629130031e-06
233,3,4,14,1.7143821685149295e-06
234,3,4,15,4.6533230288262144e-07
235,3,4,16,1.1788418339693097e-07
236,3,4,17,2.7997493556771062e-08
237,3,4,18,6.258263265631176e-09
238,3,4,19,1.321188911633255e-09
239,3,4,20,2.642377823266503e-10
240,4,1,1,4.423562526694583e-05
241,4,1,2,0.00016809537601439412
242,4,1,3,0.0003193812144273488
243,4,1,4,0.0004045495382746419
244,4,1,5,0.00038432206136090966
245,4,1,6,0.00029208476663429133
246,4,1,7,0.0001849870188683845
247,4,1,8,0.00010042152452855147
248,4,1,9,4.7700224151061957e-05
249,4,1,10,2.014009464155953e-05
250,4,1,11,7.653235963792604e-06
251,4,1,12,2.6438451511283547e-06
252,4,1,13,8.372176311906481e-07
253,4,1,14,2.4472515373265056e-07
254,4,1,15,6.642539887029054e-08
255,4,1,16,1.6827767713806965e-08
256,4,1,17,3.996594832029148e-09
257,4,1,18,8.933564918653387e-10
258,4,1,19,1.8859748161601692e-10
259,4,1,20,3.771949632320328e-11
260,4,2,1,6.0350007936465114e-05
261,4,2,2,0.00022933003015856738
262,4,2,3,0.000435727057301278
263,4,2,4,0.0005519209392482855
264,4,2,5,0.0005243248922858711
265,4,2,6,0.000398486918137262
266,4,2,7,0.00025237504815359927
267,4,2,8,0.00013700359756909657
268,4,2,9,6.507670884532089e-05
269,4,2,10,2.747683262357998e-05
270,4,2,11,1.0441196396960368e-05
271,4,2,12,3.606958755313583e-06
272,4,2,13,1.1422036058493046e-06
273,4,2,14,3.3387490017133465e-07
274,4,2,15,9.06231871893618e-08
275,4,2,16,2.2957874087971696e-08
276,4,2,17,5.4524950958932696e-09
277,4,2,18,1.2187930214349657e-09
278,4,2,19,2.573007489696052e-10
279,4,2,20,5.146014979392089e-11
280,4,3,1,8.011648710336783e-05
281,4,3,2,0.00030444265099279763
282,4,3,3,0.0005784410368863155
283,4,3,4,0.0007326919800559998
284,4,3,5,0.0006960573810531996
285,4,3,6,0.0005290036096004316
286,4,3,7,0.00033503561941360674
287,4,3,8,0.00018187647911024343
288,4,3,9,8.639132757736564e-05
289,4,3,10,3.6476338310443334e-05
290,4,3,11,1.3861008557968436e-05
291,4,3,12,4.788348410934552e-06
292,4,3,13,1.516310330129279e-06
293,4,3,14,4.4322917342240395e-07
294,4,3,15,1.2030506135750905e-07
295,4,3,16,3.047728221056901e-08
296,4,3,17,7.238354525010129e-09
297,4,3,18,1.6179851291199106e-09
298,4,3,19,3.415746383697607e-10
299,4,3,20,6.831492767395195e-11
300,4,4,1,7.747136533991936e-05
301,4,4,2,0.00029439118829169346
302,4,4,3,0.0005593432577542175
303,4,4,4,0.0007085014598220091
304,4,4,5,0.0006730763868309083
305,4,4,6,0.0005115380539914903
306,4,4,7,0.0003239741008612772
307,4,4,8,0.00017587165475326457
308,4,4,9,8.353903600780068e-05
309,4,4,10,3.52720374255159e-05
310,4,4,11,1.3403374221696014e-05
311,4,4,12,4.6302565493131695e-06
312,4,4,13,1.4662479072825078e-06
313,4,4,14,4.2859554212873237e-07
314,4,4,15,1.1633307572065536e-07
315,4,4,16,2.9471045849232742e-08
316,4,4,17,6.999373389192766e-09
317,4,4,18,1.564565816407794e-09
318,4,4,19,3.3029722790831376e-10
319,4,4,20,6.605944558166257e-11
320,5,1,1,1.1058906316736458e-05
321,5,1,2,4.202384400359853e-05
322,5,1,3,7.98453036068372e-05
323,5,1,4,0.00010113738456866048
324,5,1,5,9.608051534022742e-05
325,5,1,6,7.302119165857283e-05
326,5,1,7,4.624675471709613e-05
327,5,1,8,2.5105381132137868e-05
328,5,1,9,1.1925056037765489e-05
329,5,1,10,5.035023660389882e-06
330,5,1,11,1.913308990948151e-06
331,5,1,12,6.609612877820887e-07
332,5,1,13,2.0930440779766202e-07
333,5,1,14,6.118128843316264e-08
334,5,1,15,1.6606349717572635e-08
335,5,1,16,4.206941928451741e-09
336,5,1,17,9.99148708007287e-10
337,5,1,18,2.2333912296633467e-10
338,5,1,19,4.714937040400423e-11
339,5,1,20,9.42987408080082e-12
340,5,2,1,1.5087501984116279e-05
341,5,2,2,5.7332507539641844e-05
342,5,2,3,0.0001089317643253195
343,5,2,4,0.00013798023481207137
344,5,2,5,0.00013108122307146778
345,5,2,6,9.96217295343155e-05
346,5,2,7,6.309376203839982e-05
347,5,2,8,3.425089939227414e-05
348,5,2,9,1.626917721133022e-05
349,5,2,10,6.869208155894995e-06
350,5,2,11,2.610299099240092e-06
351,5,2,12,9.017396888283957e-07
352,5,2,13,2.8555090146232615e-07
353,5,2,14,8.346872504283366e-08
354,5,2,15,2.265579679734045e-08
355,5,2,16,5.739468521992924e-09
356,5,2,17,1.3631237739733174e-09
357,5,2,18,3.0469825535874143e-10
358,5,2,19,6.43251872424013e-11
359,5,2,20,1.2865037448480223e-11
360,5,3,1,2.0029121775841958e-05
361,5,3,2,7.611066274819941e-05
362,5,3,3,0.00014461025922157887
363,5,3,4,0.00018317299501399996
364,5,3,5,0.0001740143452632999
365,5,3,6,0.0001322509024001079
366,5,3,7,8.375890485340169e-05
367,5,3,8,4.546911977756086e-05
368,5,3,9,2.159783189434141e-05
369,5,3,10,9.119084577610833e-06
370,5,3,11,3.465252139492109e-06
371,5,3,12,1.197087102733638e-06
372,5,3,13,3.7907758253231976e-07
373,5,3,14,1.1080729335560099e-07
374,5,3,15,3.007626533937726e-08
375,5,3,16,7.619320552642252e-09
376,5,3,17,1.8095886312525322e-09
377,5,3,18,4.0449628227997764e-10
378,5,3,19,8.539365959244017e-11
379,5,3,20,1.7078731918487986e-11
380,5,4,1,1.936784133497984e-05
381,5,4,2,7.359779707292336e-05
382,5,4,3,0.00013983581443855438
383,5,4,4,0.00017712536495550227
384,5,4,5,0.00016826909670772708
385,5,4,6,0.00012788451349787257
386,5,4,7,8.09935252153193e-05
387,5,4,8,4.396791368831614e-05
388,5,4,9,2.088475900195017e-05
389,5,4,10,8.818009356378976e-06
390,5,4,11,3.3508435554240034e-06
391,5,4,12,1.1575641373282924e-06
392,5,4,13,3.6656197682062695e-07
393,5,4,14,1.0714888553218309e-07
394,5,4,15,2.908326893016384e-08
395,5,4,16,7.3677614623081856e-09
396,5,4,17,1.7498433472981914e-09
397,5,4,18,3.911414541019485e-10
398,5,4,19,8.257430697707844e-11
399,5,4,20,1.6514861395415644e-11
400,6,1,1,2.7647265791841144e-06
401,6,1,2,1.0505961000899633e-05
402,6,1,3,1.99613259017093e-05
403,6,1,4,2.528434614216512e-05
404,6,1,5,2.4020128835056854e-05
405,6,1,6,1.8255297914643208e-05
406,6,1,7,1.1561688679274032e-05
407,6,1,8,6.276345283034467e-06
408,6,1,9,2.9812640094413723e-06
409,6,1,10,1.2587559150974706e-06
410,6,1,11,4.783272477370378e-07
411,6,1,12,1.6524032194552217e-07
412,6,1,13,5.2326101949415504e-08
413,6,1,14,1.529532210829066e-08
414,6,1,15,4.151587429393159e-09
415,6,1,16,1.0517354821129353e-09
416,6,1,17,2.4978717700182175e-10
417,6,1,18,5.583478074158367e-11
418,6,1,19,1.1787342601001058e-11
419,6,1,20,2.357468520200205e-12
420,6,2,1,3.7718754960290696e-06
421,6,2,2,1.4333126884910461e-05
422,6,2,3,2.7232941081329874e-05
423,6,2,4,3.4495058703017844e-05
424,6,2,5,3.2770305767866945e-05
425,6,2,6,2.4905432383578875e-05
426,6,2,7,1.5773440509599954e-05
427,6,2,8,8.562724848068536e-06
428,6,2,9,4.067294302832555e-06
429,6,2,10,1.7173020389737487e-06
430,6,2,11,6.52574774810023e-07
431,6,2,12,2.2543492220709894e-07
432,6,2,13,7.138772536558154e-08
433,6,2,14,2.0867181260708415e-08
434,6,2,15,5.663949199335113e-09
435,6,2,16,1.434867130498231e-09
436,6,2,17,3.4078094349332935e-10
437,6,2,18,7.617456383968536e-11
438,6,2,19,1.6081296810600326e-11
439,6,2,20,3.216259362120056e-12
440,6,3,1,5.007280443960489e-06
441,6,3,2,1.9027665687049852e-05
442,6,3,3,3.615256480539472e-05
443,6,3,4,4.579324875349999e-05
444,6,3,5,4.350358631582497e-05
445,6,3,6,3.306272560002697e-05
446,6,3,7,2.093972621335042e-05
447,6,3,8,1.1367279944390214e-05
448,6,3,9,5.399457973585353e-06
449,6,3,10,2.2797711444027084e-06
450,6,3,11,8.663130348730273e-07
451,6,3,12,2.992717756834095e-07
452,6,3,13,9.476939563307994e-08
453,6,3,14,2.7701823338900247e-08
454,6,3,15,7.519066334844316e-09
455,6,3,16,1.904830138160563e-09
456,6,3,17,4.5239715781313306e-10
457,6,3,18,1.0112407056999441e-10
458,6,3,19,2.1348414898110043e-11
459,6,3,20,4.269682979621997e-12
460,6,4,1,4.84196033374496e-06
461,6,4,2,1.839944926823084e-05
462,6,4,3,3.4958953609638594e-05
463,6,4,4,4.428134123887557e-05
464,6,4,5,4.206727417693177e-05
465,6,4,6,3.197112837446814e-05
466,6,4,7,2.0248381303829826e-05
467,6,4,8,1.0991978422079036e-05
468,6,4,9,5.221189750487542e-06
469,6,4,10,2.204502339094744e-06
470,6,4,11,8.377108888560008e-07
471,6,4,12,2.893910343320731e-07
472,6,4,13,9.164049420515674e-08
473,6,4,14,2.6787221383045773e-08
474,6,4,15,7.27081723254096e-09
475,6,4,16,1.8419403655770464e-09
476,6,4,17,4.3746083682454785e-10
477,6,4,18,9.778536352548712e-11
478,6,4,19,2.064357674426961e-11
479,6,4,20,4.128715348853911e-12
480,7,1,1,6.911816447960286e-07
481,7,1,2,2.626490250224908e-06
482,7,1,3,4.990331475427325e-06
483,7,1,4,6.32108653554128e-06
484,7,1,5,6.0050322087642135e-06
485,7,1,6,4.563824478660802e-06
486,7,1,7,2.890422169818508e-06
487,7,1,8,1.5690863207586168e-06
488,7,1,9,7.453160023603431e-07
489,7,1,10,3.1468897877436765e-07
490,7,1,11,1.1958181193425944e-07
491,7,1,12,4.131008048638054e-08
492,7,1,13,1.3081525487353876e-08
493,7,1,14,3.823830527072665e-09
494,7,1,15,1.0378968573482897e-09
495,7,1,16,2.6293387052823383e-10
496,7,1,17,6.244679425045544e-11
497,7,1,18,1.3958695185395917e-11
498,7,1,19,2.9468356502502644e-12
499,7,1,20,5.893671300500512e-13
500,7,2,1,9.429688740072674e-07
501,7,2,2,3.5832817212276153e-06
502,7,2,3,6.808235270332469e-06
503,7,2,4,8.623764675754461e-06
504,7,2,5,8.192576441966736e-06
505,7,2,6,6.226358095894719e-06
506,7,2,7,3.9433601273999886e-06
507,7,2,8,2.140681212017134e-06
508,7,2,9,1.0168235757081388e-06
509,7,2,10,4.2932550974343717e-07
510,7,2,11,1.6314369370250575e-07
511,7,2,12,5.6358730551774734e-08
512,7,2,13,1.7846931341395384e-08
513,7,2,14,5.216795315177104e-09
514,7,2,15,1.4159872998337782e-09
515,7,2,16,3.5871678262455775e-10
516,7,2,17,8.519523587333234e-11
517,7,2,18,1.904364095992134e-11
518,7,2,19,4.0203242026500815e-12
519,7,2,20,8.04064840530014e-13
520,7,3,1,1.2518201109901224e-06
521,7,3,2,4.756916421762463e-06
522,7,3,3,9.03814120134868e-06
523,7,3,4,1.1448312188374997e-05
524,7,3,5,1.0875896578956243e-05
525,7,3,6,8.265681400006743e-06
526,7,3,7,5.234931553337605e-06
527,7,3,8,2.8418199860975535e-06
528,7,3,9,1.3498644933963382e-06
529,7,3,10,5.699427861006771e-07
530,7,3,11,2.165782587182568e-07
531,7,3,12,7.481794392085238e-08
532,7,3,13,2.3692348908269985e-08
533,7,3,14,6.925455834725062e-09
534,7,3,15,1.879766583711079e-09
535,7,3,16,4.762075345401408e-10
536,7,3,17,1.1309928945328326e-10
537,7,3,18,2.5281017642498603e-11
538,7,3,19,5.337103724527511e-12
539,7,3,20,1.0674207449054992e-12
540,7,4,1,1.21049008343624e-06
541,7,4,2,4.59986231705771e-06
542,7,4,3,8.739738402409649e-06
543,7,4,4,1.1070335309718892e-05
544,7,4,5,1.0516818544232943e-05
545,7,4,6,7.992782093617036e-06
546,7,4,7,5.0620953259574565e-06
547,7,4,8,2.747994605519759e-06
548,7,4,9,1.3052974376218856e-06
549,7,4,10,5.51125584773686e-07
550,7,4,11,2.094277222140002e-07
551,7,4,12,7.234775858301827e-08
552,7,4,13,2.2910123551289184e-08
553,7,4,14,6.696805345761443e-09
554,7,4,15,1.81770430813524e-09
555,7,4,16,4.604850913942616e-10
556,7,4,17,1.0936520920613696e-10
557,7,4,18,2.444634088137178e-11
558,7,4,19,5.1608941860674026e-12
559,7,4,20,1.0321788372134777e-12
